label x Gender Gender_ID Greek Home_Town In_State Ethnicity Religion Religious like_Math Calculus ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Social_Media Texts Good_or_Well Expected_Income President Illinois_Commitment Family_Income Liberal Political_Party Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section
Obs90 90 0 0 1 2 0 0 7 0 0 1 31 3 50 50 50 1 1 0 0 5 10000 4 0 99999 5 1 10 10 25 100 10 1 
Obs91 91 0 0 1 0 1 0 0 2 0 0 26 3 7 5 34 1 3 4 5 7 110 3 6 400 3 0 8 8 0 60 7 1 
Obs92 92 1 1 0 2 1 0 7 2 8 1 32 3.2 4 4 3 2 1 3 10 10 110 6 5 59 5 5 5 10 0 90 7 1 
Obs93 93 1 1 0 2 1 3 6 0 6 1 33 4 0 0 0 0 2 3 5 5 90 5 8 150 4 0 6 10 0 100 5 1 
Obs94 94 1 1 1 0 1 0 0 5 7 1 26 3.9 7 10 0 0 2 3 5 7 55 5 3 80 7 1 4 7 0 50 4 1 
Obs95 95 1 1 0 3 1 0 0 1 8 1 35 3.2 4 3 0 0 1 2 6 2 90 5 10 88 2 4 9 3 10 90 5 1 
Obs96 96 0 0 0 2 1 0 0 10 10 0 19 3.1 0 0 3 1 30 2 3 5 999 1 10 999 8 1 5 10 10 0 10 1 
Obs97 97 0 0 0 3 1 2 0 7 3 1 27 3.4 4 0 1 1 5 2 8 5 300 5 10 50 3 0 5 5 0 100 10 1 
Obs98 98 0 0 0 2 1 4 2 9 1 1 27 3.9 0 0 0 1 3 6 5 5 300 5 10 85 4 0 3 10 5 100 8 1 
Obs99 99 1 1 1 0 1 0 6 0 5 0 27 3.7 5 4 1 4 1 1 8 5 70 5 10 70 3 0 3 2 0 0 6 1 
Obs100 100 1 1 0 3 1 2 5 8 1 1 20 2.8 0 0 1 1 15 0 4 0 72 2 10 20 0 0 5 0 0 0 7 1 
Obs101 101 1 1 1 2 1 0 0 7 3 1 32 4 20 15 3 3 5 3 4 8 100 6 1 120 7 1 5 8 0 30 9 1 
Obs102 102 0 0 0 3 1 2 0 5 7 1 27 3.6 3 4 1 3 7 6 5 0 60 6 10 57 5 0 7 5 10 100 2 1 
Obs103 103 1 1 0 2 1 0 0 4 3 0 26 3.3 5 7 2 1 1 3 6 3 70 5 7 100 2 4 5 8 0 100 10 1 
Obs104 104 0 0 0 0 1 2 0 6 3 0 24 2.1 1 1 1 3 8 5 4 8 80 5 5 55 5 0 0 10 10 10 5 1 
Obs105 105 1 1 0 0 1 1 0 2 8 1 21 3.6 0 0 2 2 3 2 1 8 89 6 10 30 5 0 3 8 15 0 0 1 
Obs106 106 1 1 0 0 1 0 6 1 2 0 25 3.7 3 4 0 1 0 5 3 5 100 2 0 85 1 0 4 9 10 40 9 1 
Obs107 107 1 1 0 2 0 3 0 10 2 1 31 3.2 0 0 0 0 11 2 6 3 70 5 4 80 8 1 7 10 5 100 5 1 
Obs108 108 1 1 1 1 1 0 1 6 7 1 26 3.9 6 8 2 1 6 4 14 3 150 2 10 250 3 0 7 9 0 100 0 1 
Obs109 109 1 1 0 3 0 3 7 2 1 0 29 3.3 0 0 0 2 2 4 2 8 100 5 5 100 5 5 6 8 0 20 5 1 
Obs110 110 0 0 0 2 1 0 1 7 2 0 29 4 0 0 2 0 3 2 4 10 120 6 10 100 6 2 7 6 0 60 8 1 
Obs111 111 0 0 0 3 1 1 7 0 8 1 30 1.7 1 1 1 0 1 2 2 3 120 5 8 110 3 0 5 7 0 0 5 1 
Obs112 112 1 1 0 2 1 0 0 3 1 0 32 3.6 3 4 6 2 1 3 6 4 50 5 4 60 3 0 7 7 15 80 8 1 
Obs113 113 1 1 0 3 1 2 5 1 8 1 20 3.5 3 4 1 1 3 3 3 5 100 5 5 70 5 0 5 8 20 10 9 1 
Obs114 114 1 1 0 3 1 3 6 3 1 1 30 3.5 0 0 1 1 2 2 3 6 80 5 10 20 3 0 2 5 0 0 0 1 
Obs115 115 1 1 0 3 1 2 0 5 8 1 26 1.6 4 8 4 3 5 5 3 7 150 5 8 50 0 0 5 8 10 0 5 1 
Obs116 116 1 1 1 3 1 0 0 2 5 1 31 3.7 7 10 35 3 9 3 10 8 200 5 10 500 5 5 3 8 0 90 0 1 
Obs117 117 1 1 0 3 1 2 5 1 6 0 28 3.7 8 4 1 1 14 2 9 8 10000 5 10 25 1 0 5 9 15 0 3 1 
Obs118 118 1 1 0 0 1 2 0 5 7 1 32 4 8 8 0 0 4 3 3 4 100 5 5 100 3 0 5 9 0 90 0 1 
Obs119 119 1 1 0 3 1 1 0 4 5 0 23 3.2 0 0 4 3 10 4 4 6 50 5 0 8 3 1 10 6 10 0 5 1 
Obs120 120 1 1 1 2 1 0 1 4 2 0 26 3.9 25 27 10 1 10 6 10 5 100 6 8 220 7 1 5 8 0 90 6 1 
Obs121 121 1 1 0 3 0 2 0 5 0 1 24 3.9 12 12 2 2 5 7 3 6 200 5 10 100 0 0 0 5 0 0 8 1 
Obs122 122 1 1 0 2 1 2 5 3 8 1 27 3.7 4 2 1 2 6 4 2 5 200 5 8 40 5 0 4 8 0 10 3 1 
Obs123 123 0 0 0 1 1 0 0 8 10 1 32 4 6 6 0 1 1 2 8 5 200 5 3 300 9 1 5 10 0 100 10 1 
Obs124 124 1 1 0 2 1 1 0 8 10 1 27 2.7 8 3 0 0 5 5 4 5 120 5 10 18 0 0 5 9 10 0 7 1 
Obs125 125 1 1 1 2 1 0 7 0 0 1 32 3.8 4 7 15 2 2 1 5 7 200 2 9 100 2 0 5 8 0 20 7 1 
Obs126 126 1 1 0 1 1 0 0 7 2 0 26 3.4 1 1 1 1 4 5 10 9 200 6 8 150 6 1 7 9 0 80 10 1 
